id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
108061,Rental unit in Asheville · ★4.51 · 1 bedroom · 1 bed · 1 bath,320564,Lisa,,28801,35.60562,-82.55512,Entire home/apt,100,30,92,2022-12-11,0.63,2,203,2,
155305,Guesthouse in Asheville · ★4.59 · 1 bedroom · 1 bed · 1 bath,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,100,1,400,2023-09-10,2.71,7,268,31,
156805,Home in Asheville · ★4.52 · 1 bedroom · 1 bed · 2.5 shared baths,746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,2020-01-01,0.46,7,0,0,
156926,Hostel in Asheville · ★4.70 · 1 bedroom · 6 beds · 2.5 shared baths,746673,BonPaul,,28806,35.57864,-82.59578,Shared room,26,1,334,2023-08-02,2.28,7,323,19,
197263,Home in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 private bath,961396,Timo,,28806,35.57735,-82.63804,Private room,45,2,73,2023-08-06,0.54,2,88,13,
209068,Guest suite in Asheville · ★4.88 · 1 bedroom · 2 beds · 1 bath,1029919,Kevin,,28804,35.61736,-82.55074,Entire home/apt,95,30,61,2023-07-31,0.42,1,187,2,
246315,Cabin in Asheville · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,1292070,Annie,,28805,35.59615,-82.50635,Private room,68,7,57,2019-10-30,0.40,3,52,0,
259576,Rental unit in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 bath,1362726,Julia,,28805,35.61966,-82.48065,Entire home/apt,83,2,798,2023-09-04,5.57,2,71,85,
304379,Guesthouse in Asheville · ★4.90 · 2 bedrooms · 2 beds · 1 bath,1566145,Gayle,,28804,35.64408,-82.52508,Entire home/apt,219,30,24,2019-08-03,0.17,2,224,0,
314540,Home in Asheville · ★5.0 · 4 bedrooms · 5 beds · 2 baths,381660,Tom,,28806,35.58561,-82.62731,Entire home/apt,292,1,11,2023-08-31,0.08,2,230,7,
