INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
ASU,43,"AUG 01, 2021",Assistant Professor,70380.00,Sustainable Technlgy & Built Envirn,Assistant Professor
ASU,39,"AUG 26, 2011",Associate Professor,79784.00,Psychology,Associate Professor
ASU,35,"AUG 02, 2022",Assistant Professor,69875.00,Biology,Assistant Professor
ASU,67,"AUG 20, 1981",Professor,102851.00,Theatre & Dance,Professor
ASU,37,"AUG 22, 2017",Assistant Professor,71727.00,Curriculum & Instruction,Assistant Professor
ASU,46,"AUG 17, 2020",Assistant Professor,65561.00,Art,Assistant Professor
ASU,38,"AUG 15, 2022",Assistant Professor,122000.00,Computer Information Systems,Assistant Professor
ASU,36,"JAN 01, 2022",Assistant Professor,128340.00,Marketing & Supply Chain Mgmt (SCM),Assistant Professor
ASU,53,"AUG 24, 2010",Professor,86313.00,Biology,Professor
ASU,31,"AUG 15, 2022",Assistant Professor,90000.00,Computer Science,Assistant Professor
ASU,48,"AUG 25, 2009",Professor,141686.00,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,57,"AUG 25, 2009",Associate Professor,77582.00,Social Work,Associate Professor
ASU,66,"AUG 15, 1990",Professor,88668.00,Physics & Astronomy,Professor
ASU,80,"AUG 15, 1989",Professor,91130.00,School Of Music,Professor
ASU,37,"AUG 19, 2014",Associate Professor,77751.00,Physics & Astronomy,Associate Professor
ASU,59,"AUG 24, 2010",Associate Professor,72935.00,Interdisciplinary Studies,Associate Professor
ASU,61,"AUG 17, 1992",Professor,147259.00,Management,Professor
ASU,65,"AUG 15, 1989",Associate Professor,82301.00,Mathematical Sciences,Associate Professor
ASU,57,"AUG 24, 2004",Professor,110027.00,Geological & Environmental Sciences,Professor
ASU,53,"JUL 01, 2003",Professor,104612.00,Government & Justice Studies,Professor
ASU,43,"AUG 22, 2017",Assistant Professor,101936.00,Economics,Assistant Professor
ASU,45,"JAN 12, 2015",Lecturer,60639.00,Chemistry & Fermentation Sciences,Professor
ASU,35,"AUG 22, 2017",Assistant Professor,78167.00,Geological & Environmental Sciences,Assistant Professor
ASU,60,"AUG 16, 1993",Professor,97207.00,Mathematical Sciences,Professor
ASU,45,"JAN 13, 2003",Associate Professor,68256.00,Theatre & Dance,Associate Professor
ASU,53,"AUG 26, 2008",Associate Professor,65943.00,School Of Music,Associate Professor
ASU,69,"AUG 17, 1987",Professor,95095.00,Communication,Professor
ASU,42,"AUG 15, 2022",Associate Professor,71500.00,English,Visiting Assistant Professor
ASU,53,"JUL 01, 2004",Associate Professor,87467.00,Chemistry & Fermentation Sciences,Associate Professor
ASU,66,"AUG 22, 2017",Professor,113850.00,Economics,Professor
ASU,66,"AUG 15, 1991",Professor,97125.00,Psychology,Professor
ASU,66,"AUG 15, 2000",Professor,109172.00,English,Professor/Editor of Ap Journal
ASU,52,"AUG 22, 2017",Lecturer,31878.00,Art,Professor
ASU,57,"JUL 01, 2003",Professor,79776.00,"Languages, Literatures & Cultures",Associate Professor
ASU,69,"AUG 16, 1999",Professor,86061.00,School Of Music,Professor
ASU,61,"AUG 15, 2022",Assistant Professor,53000.00,Biology,Visiting Assistant Professor
ASU,48,"AUG 21, 2007",Professor,76594.00,Philosophy & Religion,Professor
ASU,37,"AUG 22, 2017",Assistant Professor,70095.00,Chemistry & Fermentation Sciences,Assistant Professor
ASU,53,"AUG 25, 2009",Professor,95006.00,Health and Exercise Science (HES),Professor/Dir Stdnt Research
ASU,57,"AUG 16, 1993",Professor,96510.00,Psychology,Professor
ASU,55,"AUG 09, 2021",Lecturer,49680.00,Accounting,Professor
ASU,48,"AUG 24, 2010",Professor,87032.00,Leadership & Edu Studies,Professor/MLS Grad Prgrm Dir
ASU,65,"AUG 15, 1986",Professor,94751.00,School Of Music,Professor
ASU,52,"JUL 01, 2003",Professor,83030.00,History,Professor
ASU,55,"AUG 26, 2008",Professor,83030.00,History,Professor
ASU,55,"AUG 24, 2004",Professor,79866.00,School Of Music,Professor
ASU,47,"AUG 20, 2013",Associate Professor,78856.00,Curriculum & Instruction,Associate Professor
ASU,40,"AUG 16, 2016",Assistant Professor,133156.00,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,54,"AUG 23, 2005",Professor,146652.00,Management,Professor
ASU,48,"AUG 21, 2007",Professor,93722.00,Psychology,K/C Distinguished Professor
ASU,42,"AUG 15, 2022",Assistant Professor,67000.00,Human Dev & Psych Counsel,Assistant Professor
ASU,43,"OCT 01, 2002",Lecturer,49486.00,Art,Assistant Professor
ASU,35,"AUG 09, 2021",Assistant Professor,146970.00,"Finance, Banking & Insurance",Professor
ASU,40,"AUG 17, 2020",Assistant Professor,66978.00,Interdisciplinary Studies,Visiting Assistant Professor
ASU,42,"AUG 22, 2017",Associate Professor,63000.00,Reading Education & Specl Education,Clinical Associate Professor
ASU,53,"JUL 01, 2021",Professor,110745.00,Chemistry & Fermentation Sciences,Professor
ASU,41,"MAR 30, 2021",Assistant Professor,67565.00,Applied Design,Assistant Professor
ASU,38,"AUG 16, 2021",Assistant Professor,134550.00,Management,Professor
ASU,73,"AUG 26, 2008",Associate Professor,39027.00,Leadership & Edu Studies,Professor
ASU,45,"AUG 22, 2017",Associate Professor,67677.00,School Of Music,Associate Professor
ASU,47,"AUG 19, 2014",Associate Professor,80010.00,Art,Associate Professor
ASU,77,"AUG 15, 1989",Professor,107088.00,History,Professor
ASU,63,"AUG 21, 2012",Professor,134636.00,Mathematical Sciences,Distinguished Professor
ASU,64,"SEP 01, 1997",Associate Professor,81942.00,Rehabilitation Sciences,Associate Professor
ASU,59,"AUG 24, 2010",Associate Professor,92905.00,Department of Nursing,Assistant Professor
ASU,63,"JUL 01, 2003",Professor,155890.00,Accounting,Professor
ASU,52,"AUG 20, 2005",Professor,87975.00,Curriculum & Instruction,Professor
ASU,50,"AUG 26, 2008",Professor,86313.00,Biology,Associate Professor
ASU,32,"AUG 17, 2020",Assistant Professor,74546.00,Psychology,Assistant Professor
ASU,63,"AUG 21, 2007",Professor,93907.00,Communication,Professor
ASU,68,"AUG 17, 1987",Professor,97152.00,English,Professor
ASU,37,"AUG 19, 2019",Lecturer,54408.00,Applied Design,Assistant Professor
ASU,40,"AUG 19, 2019",Assistant Professor,66812.00,Sustainable Development,Assistant Professor
ASU,48,"AUG 19, 2014",Associate Professor,80666.00,Social Work,Assistant Professor
ASU,45,"AUG 23, 2005",Professor,90225.00,Psychology,Professor
ASU,41,"AUG 15, 2022",Assistant Professor,64000.00,Government & Justice Studies,Assistant Professor
ASU,54,"AUG 21, 2007",Professor,92395.00,Curriculum & Instruction,Professor
ASU,43,"MAY 13, 2000",Assistant Professor,58164.00,School Of Music,Assistant Professor
ASU,59,"AUG 15, 2001",Professor,81578.00,Geography & Planning,Associate Professor
ASU,55,"AUG 15, 2001",Instructor,65231.00,Physics & Astronomy,Assistant Professor
ASU,43,"FEB 01, 2002",Assistant Professor,93150.00,Computer Information Systems,Visiting Assistant Professor
ASU,49,"AUG 22, 2006",Professor,83047.00,History,Professor/Grad Prog Director
