Player,Position,Age,Team,Games,Minutes,3P,2P,FT,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Jayson Tatum,SF,24,BOS,74,2732,240,487,531,649,342,78,51,213,160,2225
Joel Embiid,C,28,PHI,66,2284,66,662,661,670,274,66,112,226,205,2183
Luka Doncic,PG,23,DAL,66,2391,185,534,515,569,529,90,33,236,166,2138
Shai Gilgeous-Alexander,PG,24,OKC,68,2416,58,646,669,329,371,112,65,192,192,2135
Giannis Antetokounmpo,PF,28,MIL,63,2024,47,660,498,742,359,52,51,246,197,1959
Anthony Edwards,SG,21,MIN,79,2842,213,494,319,458,350,125,58,259,186,1946
Julius Randle,PF,28,NYK,77,2737,218,440,402,767,316,49,21,216,233,1936
Donovan Mitchell,SG,26,CLE,68,2432,245,434,319,289,301,99,27,180,168,1922
Trae Young,PG,24,ATL,73,2541,154,443,566,217,741,80,9,300,104,1914
Zach LaVine,SG,27,CHI,77,2768,204,469,363,345,327,69,18,194,159,1913
Damian Lillard,PG,32,POR,58,2107,244,312,510,277,425,50,18,191,109,1866
De'Aaron Fox,PG,25,SAC,73,2435,119,563,343,306,447,83,23,181,172,1826
DeMar DeRozan,SF,33,CHI,74,2682,46,611,456,343,377,83,36,153,186,1816
Jaylen Brown,SF,26,BOS,67,2405,163,516,263,459,232,75,26,197,172,1784
Pascal Siakam,PF,28,TOR,71,2652,93,537,367,556,415,65,36,169,228,1720
Lauri Markkanen,PF,25,UTA,66,2273,200,371,349,570,123,42,38,127,137,1691
Nikola Jokic,C,27,DEN,69,2323,57,589,341,817,678,87,47,247,174,1690
Jalen Green,SG,20,HOU,76,2602,187,379,364,284,281,59,18,200,131,1683
Jordan Poole,PG,23,GSW,82,2458,214,336,361,225,369,63,21,252,214,1675
Mikal Bridges,SF-SG,26,TOT,83,2963,169,424,316,364,273,91,61,127,159,1671
Stephen Curry,PG,34,GSW,56,1941,273,286,257,341,352,52,20,179,117,1648
Jalen Brunson,PG,26,NYK,68,2379,134,453,325,241,421,61,15,142,152,1633
Ja Morant,PG,23,MEM,61,1948,92,474,372,357,493,66,16,206,100,1596
LeBron James,PF,38,LAL,55,1954,121,488,251,457,375,50,32,178,88,1590
CJ McCollum,SG,31,NOP,75,2649,211,376,183,328,429,70,38,183,153,1568
Bam Adebayo,C,25,MIA,75,2598,1,601,324,688,240,88,61,187,208,1529
Dejounte Murray,SG,26,ATL,74,2693,133,479,158,389,448,112,19,160,106,1515
Domantas Sabonis,C,26,SAC,79,2736,31,546,325,973,573,65,39,230,279,1510
Klay Thompson,SF,32,GSW,69,2279,301,245,116,286,163,49,29,123,130,1509
Kristaps Porzingis,C,27,WAS,65,2120,137,370,354,546,174,58,100,137,196,1505
Darius Garland,PG,23,CLE,69,2447,169,353,277,185,538,85,9,199,148,1490
Franz Wagner,SF,21,ORL,80,2609,130,412,271,329,283,77,17,167,183,1485
Devin Booker,SG,26,PHO,53,1835,111,416,306,240,293,51,18,145,159,1471
Jimmy Butler,PF,33,MIA,64,2138,36,443,472,375,340,117,21,101,80,1466
Anthony Davis,C,29,LAL,56,1904,19,523,348,702,148,59,114,122,146,1451
Nikola Vucevic,C,32,CHI,82,2746,121,476,132,903,265,60,57,139,179,1447
Paolo Banchero,PF,20,ORL,72,2430,85,394,394,497,269,60,39,200,160,1437
RJ Barrett,SG,22,NYK,73,2475,121,389,290,368,201,31,15,164,179,1431
Keldon Johnson,SF,23,SAS,63,2063,134,369,245,318,183,46,11,134,125,1385
Spencer Dinwiddie,SG-PG,29,TOT,79,2725,181,279,268,270,515,67,24,145,187,1369
Kevin Durant,PF,34,TOT,47,1672,93,390,307,313,235,34,67,156,99,1366
Kyle Kuzma,PF,27,WAS,64,2239,160,352,173,463,239,36,29,190,145,1357
Tyler Herro,SG,23,MIA,67,2337,203,284,170,360,280,51,16,158,101,1347
Buddy Hield,SF,30,IND,80,2482,288,187,106,400,225,92,26,139,156,1344
Fred VanVleet,PG,28,TOR,69,2535,207,230,254,280,495,123,38,140,193,1335
Paul George,SF,32,LAC,56,1939,158,301,256,342,288,83,20,176,159,1332
Terry Rozier,SG,28,CHO,63,2221,165,328,178,259,319,74,16,134,119,1329
Anfernee Simons,SG,23,POR,62,2171,212,255,160,161,253,42,14,128,142,1306
Bennedict Mathurin,SG,20,IND,78,2222,100,313,376,318,116,48,13,152,162,1302
Jamal Murray,PG,25,DEN,65,2133,172,301,180,257,400,66,16,145,103,1298
Jrue Holiday,PG,32,MIL,67,2183,158,332,152,341,495,79,25,197,116,1290
Jerami Grant,PF,28,POR,63,2246,144,290,278,283,150,51,53,116,152,1290
Evan Mobley,PF,21,CLE,79,2715,22,503,205,711,224,60,119,146,218,1277
Bojan Bogdanovic,PF,33,DET,59,1893,145,285,268,223,152,34,8,135,113,1273
Jordan Clarkson,SG,30,UTA,61,1988,155,303,200,246,270,33,13,186,120,1271
