Player,Salary
Stephen Curry,48070014
John Wall,47345760
Russell Westbrook,47080179
LeBron James,44474988
Kevin Durant,44119845
Bradley Beal,43279250
Kawhi Leonard,42492492
Paul George,42492492
Giannis Antetokounmpo,42492492
Damian Lillard,42492492
Klay Thompson,40600080
Rudy Gobert,38172414
Khris Middleton,37984276
Anthony Davis,37980720
Jimmy Butler,37653300
Tobias Harris,37633050
Kemba Walker,37281261
Trae Young,37096500
Zach LaVine,37096500
Luka Doncic,37096500
Ben Simmons,35448672
Pascal Siakam,35448672
Myles Turner,35096500
Jrue Holiday,34319520
Karl-Anthony Towns,33833400
Devin Booker,33833400
Kristaps Porzingis,33833400
Andrew Wiggins,33616770
Joel Embiid,33616770
CJ McCollum,33333333
Nikola Jokic,33047803
James Harden,33000000
Jamal Murray,31650600
Brandon Ingram,31650600
D'Angelo Russell,31377750
Donovan Mitchell,30913750
Michael Porter,30913750
Shai Gilgeous-Alexander,30913750
Deandre Ayton,30913750
Kevin Love,30556968
Jayson Tatum,30351780
Bam Adebayo,30351780
De'Aaron Fox,30351780
Gordon Hayward,30075000
Jaylen Brown,29776785
Jaren Jackson Jr,28946605
Chris Paul,28400000
Kyle Lowry,28333334
Jalen Brunson,27733332
DeMar DeRozan,27300000
Al Horford,26500000
Draymond Green,25806468
Julius Randle,23760000
John Collins,23500000
Mike Conley,22680000
Malcolm Brogdon,22600000
Anfernee Simons,22321429
Nikola Vucevic,22000000
Terry Rozier,21486316
Fred VanVleet,21250000
Buddy Hield,21177750
Domantas Sabonis,21100000
Jerami Grant,20955000
Aaron Gordon,20690909
Mikal Bridges,20100000
Jarrett Allen,20000000
Nicolas Batum,19700319
Tim Hardaway Jr,19602273
Eric Gordon,19568360
Bojan Bogdanovic,19550000
Spencer Dinwiddie,19500000
Caris LeVert,18796296
Joe Harris,18642857
Harrison Barnes,18352273
Clint Capela,18206896
Bogdan Bogdanovic,18000000
Evan Fournier,18000000
Steven Adams,17926829
Jonathan Isaac,17400000
OG Anunoby,17357143
Gary Trent Jr,17280000
Marcus Smart,17207142
Derrick White,17142857
Dejounte Murray,17071120
Mitchell Robinson,17045454
Duncan Robinson,16902000
Norman Powell,16758621
Collin Sexton,16700000
Markelle Fultz,16500000
Lauri Markkanen,16475454
Marcus Morris,16372093
Davis Bertans,16000000
Jusuf Nurkic,15625000
Malik Beasley,15558035
Luguentz Dort,15277778
Will Barton,15059712
Tyus Jones,15000000
Jonas Valanciunas,14700000
Derrick Rose,14520730
Kevin Huerter,14508929
Christian Wood,14317459
Wendell Carter,14150000
Kentavious Caldwell-Pope,14004703
Brook Lopez,13906976
Patrick Beverley,13801614
Doug McDermott,13750000
Luke Kennard,13745455
Zion Williamson,13534817
Jordan Clarkson,13340000
Gary Harris,13000000
Kyle Kuzma,13000000
Josh Hart,12960000
Dorian Finney-Smith,12939848
Kelly Olynyk,12804878
Chris Boucher,12690000
Kelly Oubre,12600000
Marvin Bagley,12500000
Robert Covington,12307692
Josh Richardson,12196094
Ja Morant,12119440
Danny Green,11710528
Devonte Graham,11550000
Terrence Ross,11500000
Reggie Jackson,11457217
Dillon Brooks,11400000
Richaun Holmes,11215260
Dwight Powell,11080125
Paolo Banchero,11055120
RJ Barrett,10900634
Bobby Portis,10843350
DeAndre Jordan,10733758
Anthony Edwards,10733400
Robert Williams,10714287
Cade Cunningham,10552800
PJ Tucker,10490000
Mo Bamba,10300000
Talen Horton-Tucker,10260000
